Match Gap,Month,Date,Date_Converted,MathType,Season,HomeAway,Team_Name,Team,TeamRanking,Home,Home_Ranking,Away,Away_Ranking,FinalScore,ScoreGoal,GetGoal,Results,PreScoreGoal,PrePreScoreGoal,PreGetGoal,PrePreGetGoal,Ramos_Position,RamosTime,RamosGoal,RamosAss
-,9,2005. 9. 10,"Sep 10, 2005",1,05/06,0,Celta de Vigo,20,2,Real Madrid,Real Madrid  (5.),Celta de Vigo,Celta de Vigo  (2.),2:3,2,3,2,,,,,,,,
3,9,2005. 9. 13,"Sep 13, 2005",0,05/06,1,Olympique Lyon,54,0,Olympique Lyon,,Real Madrid,,3:0,0,3,2,,,,,CB,,,
5,9,2005. 9. 18,"Sep 18, 2005",1,05/06,1,RCD Espanyol Barcelona,60,12,RCD Espanyol Barcelona,Espanyol  (12.),Real Madrid,Real Madrid  (8.),1:0,0,1,2,0,2,3,3,CB,90,0,0
4,9,2005. 9. 22,"Sep 22, 2005",1,05/06,0,Athletic Bilbao,8,7,Real Madrid,Real Madrid  (15.),Athletic Bilbao,Athletic  (7.),3:1,3,1,0,0,0,1,3,not in squad,68,0,0
3,9,2005. 9. 25,"Sep 25, 2005",1,05/06,1,Deportivo Alavés,25,20,Deportivo Alavés,Alavés  (20.),Real Madrid,Real Madrid  (6.),0:3,3,0,0,3,0,1,1,CB,0,0,0
3,9,2005. 9. 28,"Sep 28, 2005",0,05/06,0,Olympiacos Piraeus,53,0,Real Madrid,,Olympiacos Piraeus,,2:1,2,1,0,3,3,0,1,CB,90,0,0
4,10,2005. 10. 2,"Oct 2, 2005",1,05/06,0,RCD Mallorca,61,19,Real Madrid,Real Madrid  (3.),RCD Mallorca,RCD Mallorca  (19.),4:0,4,0,0,2,3,1,0,CB,90,0,0
13,10,2005. 10. 15,"Oct 15, 2005",1,05/06,1,Atlético Madrid,9,10,Atlético Madrid,Atlético Madrid  (10.),Real Madrid,Real Madrid  (3.),0:3,3,0,0,4,2,0,1,CB,68,0,0
4,10,2005. 10. 19,"Oct 19, 2005",0,05/06,0,Rosenborg BK,69,0,Real Madrid,,Rosenborg BK,,4:1,4,1,0,3,4,0,0,not in squad,90,0,0
4,10,2005. 10. 23,"Oct 23, 2005",1,05/06,0,Valencia CF,87,5,Real Madrid,Real Madrid  (1.),Valencia CF,Valencia  (5.),1:2,1,2,2,4,3,1,0,CB,0,0,0
