Team,Number
AC Milan,0
AC Milan,0
AC Milan,0
AC Milan,0
AD Alcorcón,1
AD Alcorcón,1
AJ Auxerre,2
AJ Auxerre,2
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Ajax Amsterdam,3
Alicante CF (liq.),4
Alicante CF (liq.),4
APOEL Nicosia,5
APOEL Nicosia,5
APOEL Nicosia,5
APOEL Nicosia,5
Arsenal FC,6
Arsenal FC,6
AS Roma,7
AS Roma,7
AS Roma,7
AS Roma,7
AS Roma,7
AS Roma,7
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Athletic Bilbao,8
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
Atlético Madrid,9
BATE Borisov,10
BATE Borisov,10
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Bayern Munich,11
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Dortmund,12
Borussia Mönchengladbach,13
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
CA Osasuna,14
Cádiz CF,15
Cádiz CF,15
Cádiz CF,15
CD Alcoyano,16
CD Alcoyano,16
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Leganés,17
CD Numancia,18
CD Numancia,18
CD Numancia,18
CD Numancia,18
CD Tenerife,19
CD Tenerife,19
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
Celta de Vigo,20
CF Fuenlabrada,21
CF Fuenlabrada,21
Club Brugge KV,22
Club Brugge KV,22
Córdoba CF,23
Córdoba CF,23
CSKA Moscow,24
CSKA Moscow,24
CSKA Moscow,24
CSKA Moscow,24
Cultural Leonesa,25
Cultural Leonesa,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo Alavés,25
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Deportivo de La Coruña,26
Dynamo Kyiv,27
Dynamo Kyiv,27
Écija Balompié,28
Écija Balompié,28
Elche CF,29
Elche CF,29
Elche CF,29
Elche CF,29
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Barcelona,30
FC Basel 1893,31
FC Basel 1893,31
FC Copenhagen,32
FC Copenhagen,32
FC Schalke 04,33
FC Schalke 04,33
FC Schalke 04,33
FC Schalke 04,33
FC Viktoria Plzen,34
FC Viktoria Plzen,34
FC Zürich,35
FC Zürich,35
Galatasaray SK,36
Galatasaray SK,36
Galatasaray SK,36
Galatasaray SK,36
Galatasaray SK,36
Galatasaray SK,36
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
Getafe CF,37
